symbol,direction,pattern,zone_low,zone_high,zone_strength,confluent,confluent_hourly_pattern,has_divergence,has_htf_momentum,passes_body_filter,passes_gap_filter,touch_number,entry_ts,entry_price,reaction_pattern,reaction_rsi,reaction_vol_ratio,exit_ts,exit_price,exit_reason,pnl_pct,hold_bars,status
INDUSINDBK,long,DBR,889.25,890.0999755859375,23.12,False,,False,False,True,True,1,2026-06-08 06:30:00+00:00,889.95,engulfing,34.7,6.74,2026-06-08 06:40:00+00:00,894.91,take_profit,0.557,2,active
ITC,long,DBR,301.6000061035156,301.8500061035156,19.54,False,,False,False,True,False,1,2026-05-26 06:50:00+00:00,301.6,pin_bar,30.3,1.61,2026-05-27 03:50:00+00:00,301.0,stop_loss,-0.2,39,filtered
JSWSTEEL,short,RBD,1294.300048828125,1295.0999755859375,54.95,False,,False,False,False,False,1,2026-06-22 06:15:00+00:00,1295.7,pin_bar,65.0,1.62,2026-06-22 06:30:00+00:00,1291.72,take_profit,0.307,3,filtered
LT,short,RBD,4092.3,4094.9,6.4,False,,False,False,False,True,1,2025-12-01 03:45:00+00:00,4088.5,pin_bar,76.5,1.66,2025-12-01 04:20:00+00:00,4103.09,stop_loss,-0.357,7,filtered
LT,long,DBR,4154.0,4156.0,6.58,False,,False,False,False,True,1,2026-01-05 08:00:00+00:00,4154.5,pin_bar,29.1,1.88,2026-01-05 08:05:00+00:00,4145.69,stop_loss,-0.212,1,filtered
MARICO,short,RBD,763.3499755859375,763.9500122070312,6.46,False,,True,False,False,True,1,2026-04-21 09:55:00+00:00,762.8,engulfing,65.2,3.15,2026-04-22 03:50:00+00:00,765.48,stop_loss,-0.351,2,filtered
NTPC,long,DBR,340.9,341.0,22.56,False,,False,False,False,False,1,2025-10-20 09:00:00+00:00,341.0,engulfing,32.1,2.21,2025-10-20 09:40:00+00:00,342.56,take_profit,0.459,8,filtered
NTPC,long,DBR,322.9,323.25,22.43,False,,True,False,True,True,1,2025-12-03 05:35:00+00:00,323.4,pin_bar,23.5,1.46,2025-12-03 06:20:00+00:00,322.25,stop_loss,-0.354,9,active
NTPC,long,DBR,343.3,343.6,13.98,False,,False,False,False,False,1,2026-07-15 07:40:00+00:00,344.05,pin_bar,27.2,3.28,2026-07-15 09:20:00+00:00,344.77,trailing_stop,0.211,20,filtered
PIDILITIND,short,RBD,1462.0,1463.2,9.2,False,,True,False,True,False,1,2025-12-26 06:50:00+00:00,1460.8,pin_bar,71.5,2.05,2025-12-26 09:30:00+00:00,1457.9,trailing_stop,0.199,32,filtered
PIDILITIND,short,RBD,1486.1,1487.0,18.53,False,,True,False,False,True,1,2026-02-06 04:15:00+00:00,1483.3,pin_bar,68.4,1.71,2026-02-06 04:55:00+00:00,1477.7,trailing_stop,0.378,8,filtered
PIDILITIND,long,DBR,1569.0,1569.6,51.2,False,,False,False,True,True,1,2026-06-19 09:20:00+00:00,1570.3,pin_bar,29.8,3.11,2026-06-19 09:25:00+00:00,1565.86,stop_loss,-0.283,1,active
RELIANCE,short,RBD,1365.0,1366.4000244140625,18.6,False,,False,False,False,False,1,2026-04-27 09:25:00+00:00,1365.3,pin_bar,79.3,1.88,2026-04-27 09:55:00+00:00,1369.13,stop_loss,-0.281,6,filtered
TATACONSUM,long,DBR,1094.0,1094.5,10.9,False,,True,False,False,False,1,2026-04-15 09:55:00+00:00,1094.2,pin_bar,29.6,3.27,2026-04-16 03:50:00+00:00,1091.81,stop_loss,-0.218,2,filtered
TATAPOWER,long,DBR,374.7999877929688,375.1000061035156,10.78,False,,True,True,True,False,1,2026-07-02 03:45:00+00:00,375.55,pin_bar,32.6,1.74,2026-07-02 04:10:00+00:00,376.38,trailing_stop,0.22,5,filtered
TORNTPHARM,long,DBR,3570.6,3571.9,5.68,False,,False,False,True,True,1,2025-08-28 09:45:00+00:00,3571.7,pin_bar,34.6,3.73,2025-08-28 09:55:00+00:00,3579.15,trailing_stop,0.209,2,active
TRENT,long,DBR,3627.0,3629.0,7.86,False,,False,False,False,True,1,2025-08-21 09:55:00+00:00,3628.67,pin_bar,30.7,1.38,2025-08-22 03:50:00+00:00,3637.0,trailing_stop,0.23,2,filtered
UPL,short,RBD,613.0,614.0999755859375,10.69,False,,False,False,True,True,1,2026-06-12 04:20:00+00:00,610.0,engulfing,68.3,2.72,2026-06-12 07:55:00+00:00,599.34,take_profit,1.747,43,active
UPL,long,DBR,605.7,606.15,16.25,False,,False,False,False,True,1,2026-07-20 09:45:00+00:00,605.65,pin_bar,33.4,2.55,2026-07-20 09:55:00+00:00,607.97,take_profit,0.384,2,filtered
WIPRO,long,DBR,202.9199981689453,203.0800018310547,27.94,False,,True,False,True,False,1,2026-05-26 09:55:00+00:00,203.45,pin_bar,19.4,5.14,2026-05-27 03:50:00+00:00,202.51,stop_loss,-0.46,2,filtered
